hours_studied,attendance,previous_score,final_score
6.8,61,82,77.8
3.0,66,78,70.2
5.9,97,62,76.0
1.8,74,67,62.8
6.1,94,61,77.1
6.3,60,83,81.6
7.3,81,52,71.7
9.6,81,41,73.4
1.9,82,73,65.3
1.4,89,69,62.9
9.3,65,70,81.9
6.7,83,71,79.4
1.6,74,84,66.7
1.7,74,90,67.9
3.5,100,88,84.4
4.3,73,77,71.6
9.4,64,73,86.7
5.8,75,45,64.7
3.4,100,79,82.0
7.2,63,49,70.4
8.2,85,52,75.1
9.2,96,91,100.0
2.9,91,60,72.0
6.8,69,51,65.3
7.7,94,51,83.0
4.9,97,60,75.2
10.0,68,67,85.9
7.8,67,44,69.5
8.1,87,73,84.9
4.4,89,68,73.3
6.0,60,78,77.5
7.1,94,83,90.6
6.8,67,53,68.4
5.1,76,67,75.7
5.6,66,90,82.8
8.6,92,73,89.6
4.4,70,69,74.2
9.3,60,73,81.9
1.2,83,91,78.7
8.3,75,38,67.3
6.1,65,40,62.6
8.3,94,84,93.5
6.9,95,45,73.2
8.9,87,48,84.8
7.8,72,80,84.3
10.0,83,63,93.4
5.1,75,49,60.3
1.2,95,49,60.0
1.1,100,38,52.9
9.1,81,39,75.2
3.5,91,48,65.0
7.5,96,71,89.3
8.1,86,47,73.1
6.9,82,62,77.8
8.8,63,78,86.8
6.8,63,60,73.1
8.2,66,50,68.8
5.8,68,62,67.1
5.2,64,63,70.5
8.7,66,38,69.6
5.9,60,40,62.1
8.6,70,61,79.3
2.9,85,92,76.0
4.4,84,51,70.7
8.1,78,62,83.1
7.6,95,77,94.4
2.4,78,48,61.3
6.2,94,38,72.3
1.5,97,65,68.0
8.7,70,38,74.0
1.7,71,39,48.8
7.1,75,60,72.2
9.0,75,72,88.4
6.6,86,77,86.7
5.7,76,48,68.1
3.8,76,60,62.1
6.8,89,55,82.0
9.4,60,64,81.1
6.1,66,39,60.5
5.6,68,94,82.5
1.6,75,58,55.3
4.9,94,80,82.6
9.9,93,35,81.7
6.0,66,95,88.8
3.4,66,82,71.4
3.5,98,48,69.3
2.8,100,89,81.6
5.4,63,40,58.7
8.5,62,35,63.0
2.2,76,45,56.3
6.0,87,70,76.2
1.7,69,69,56.0
4.3,95,44,66.1
1.4,83,92,79.3
9.7,62,92,92.7
7.1,66,57,74.3
9.0,86,74,94.7
9.3,75,90,93.1
8.2,71,91,91.2
2.6,81,85,79.2
8.2,75,52,72.5
7.3,84,90,88.6
5.2,72,87,85.2
4.1,74,49,56.3
2.7,81,52,64.0
9.7,77,57,85.1
4.6,94,56,77.2
2.0,76,46,54.5
9.9,62,41,72.8
4.1,80,62,70.1
5.6,84,92,89.5
3.3,87,35,57.0
8.3,72,58,77.2
9.5,81,74,90.2
8.6,79,67,83.4
4.7,85,79,78.3
2.1,86,77,75.9
7.1,71,74,81.6
4.7,60,54,58.2
4.9,97,73,84.0
5.2,88,78,79.7
5.3,70,77,72.0
5.6,100,74,84.6
8.4,75,78,86.3
8.3,69,36,62.4
9.9,99,89,100.0
5.1,100,71,80.2
7.3,91,60,79.6
6.9,60,92,87.0
7.9,66,84,85.4
2.6,93,64,65.2
3.2,67,64,58.8
5.2,93,70,81.6
9.6,88,74,98.0
9.0,87,88,100.0
5.0,70,82,81.0
5.1,75,88,83.5
7.9,93,66,88.8
3.5,64,80,67.5
3.4,80,92,80.7
2.2,74,59,61.4
7.4,64,61,72.6
5.9,86,38,63.1
4.8,97,95,94.0
8.7,96,59,87.8
9.5,79,83,94.3
9.0,86,69,92.4
5.9,98,92,91.8
3.0,87,66,65.0
4.0,85,81,75.7
5.2,68,74,74.1
9.2,97,71,97.0
1.8,87,43,59.2
2.6,76,59,59.7
5.1,81,83,85.8
3.5,86,51,67.6
5.2,94,38,71.6
4.1,64,84,77.9
1.4,61,95,66.1
8.6,99,44,79.4
5.3,67,71,76.8
5.2,76,84,79.7
6.5,67,84,85.2
9.7,66,72,81.8
3.8,84,60,73.0
2.8,97,79,81.8
3.2,79,89,79.8
8.2,96,85,93.5
5.8,83,39,65.2
4.1,86,87,82.3
4.9,83,75,82.4
5.1,69,62,65.1
5.7,77,74,81.6
5.8,90,64,78.2
7.6,77,55,79.5
8.5,65,52,77.2
3.2,89,71,74.4
4.4,61,66,68.6
2.6,73,57,62.5
4.1,98,79,86.8
6.0,93,95,91.4
3.2,86,66,70.6
3.2,90,76,78.1
5.0,61,40,53.3
4.6,75,54,66.9
4.3,95,68,76.0
10.0,95,56,89.0
5.1,79,51,64.2
7.5,80,42,73.3
9.6,71,47,73.9
5.4,97,83,88.8
3.5,66,88,70.8
3.0,71,54,53.9
5.8,77,37,66.9
6.0,68,75,80.4
5.4,60,71,68.1
5.3,81,46,70.7
3.3,90,42,64.2
4.6,64,71,70.4
1.5,69,86,68.3
